Rank,Name,City,State,category,Student_Population,Total_Annual_Cost
113,338,41,1,1,7592.0,70132.0
114,339,298,3,1,2440.0,70430.0
115,340,297,2,2,22370.0,39033.0
116,341,96,10,1,3137.0,58330.0
117,342,296,3,2,47119.0,51572.0
118,343,295,11,2,42699.0,41614.0
119,344,1,1,1,927.0,62600.0
120,345,294,3,1,2422.0,69071.0
121,366,42,5,2,59837.0,46141.0
122,328,293,7,1,2900.0,47696.0
123,367,292,20,2,49577.0,47518.0
124,369,2,2,1,9618.0,64735.0
125,391,20,24,1,4396.0,59236.0
126,392,5,35,1,13858.0,64234.0
127,393,45,26,1,2949.0,63706.0
128,394,95,25,1,1928.0,69440.0
129,395,291,2,1,7710.0,70862.0
130,396,290,25,2,27578.0,53112.0
131,397,48,11,2,43710.0,48739.0
132,390,289,11,1,2253.0,62567.0
133,398,288,12,1,6791.0,49642.0
134,400,287,26,2,24387.0,50516.0
135,401,50,25,1,5192.0,64325.0
136,402,286,8,2,21836.0,42522.0
137,403,285,4,1,2393.0,63900.0
138,404,284,3,1,2615.0,66710.0
139,405,35,12,2,34432.0,42048.0
140,406,23,21,1,11434.0,65376.0
141,399,283,1,1,16037.0,72239.0
142,389,15,2,1,8905.0,65426.0
143,388,25,6,1,2571.0,56880.0
144,387,27,3,2,28642.0,44812.0
145,370,282,1,2,17351.0,40980.0
146,371,281,21,2,35338.0,54312.0
147,372,46,48,2,23774.0,47782.0
148,373,280,6,1,10489.0,62970.0
149,374,279,20,2,7552.0,45897.0
150,375,21,15,1,2102.0,61538.0
151,376,300,9,2,41362.0,34904.0
152,377,301,20,1,6916.0,67204.0
153,378,302,5,1,2341.0,64970.0
154,379,314,15,1,1835.0,60950.0
155,380,29,4,2,30340.0,48135.0
156,381,24,1,1,28199.0,65480.0
157,382,323,1,1,1696.0,70266.0
158,383,322,1,1,2493.0,68296.0
159,384,321,13,2,50019.0,53424.0
160,385,320,17,2,32166.0,44251.0
161,386,7,19,1,14581.0,57214.0
162,488,28,23,1,7278.0,59607.0
163,489,1,1,1,1007.0,66200.0
164,490,43,13,1,1469.0,59267.0
165,571,36,5,1,10882.0,57680.0
166,594,319,28,2,29776.0,49954.0
167,595,18,3,1,8085.0,60854.0
168,596,318,37,2,13340.0,56890.0
